source	target	weight
court	sold	0.016
court	estate	0.016
county	court	0.0155
auction	property	0.0165
auction	sell	0.016
auction	clock	0.0155
auction	february	0.015
auction	sold	0.015
auction	estate	0.015
auction	county	0.014499999999999999
property	sell	0.014499999999999999
clock	property	0.013999999999999999
february	property	0.0135
property	sold	0.0135
estate	property	0.0135
county	property	0.013
clock	sell	0.0135
february	sell	0.013000000000000001
sell	sold	0.013000000000000001
estate	sell	0.013000000000000001
county	sell	0.0125
clock	february	0.0125
clock	sold	0.0125
clock	estate	0.0125
clock	county	0.012
february	sold	0.012
estate	february	0.012
county	february	0.0115
estate	sold	0.012
county	sold	0.0115
county	estate	0.0115
government	war	0.019
south	war	0.0165
states	war	0.016
north	war	0.0155
southern	war	0.014499999999999999
united	war	0.014499999999999999
england	war	0.014499999999999999
northern	war	0.014499999999999999
lincoln	war	0.013999999999999999
government	south	0.0135
government	states	0.013000000000000001
government	north	0.0125
government	southern	0.0115
government	united	0.0115
england	government	0.0115
government	northern	0.0115
government	lincoln	0.011
south	states	0.010499999999999999
north	south	0.009999999999999998
south	southern	0.009
south	united	0.009
england	south	0.009
northern	south	0.009
lincoln	south	0.0085
north	states	0.0095
southern	states	0.0085
states	united	0.0085
england	states	0.0085
northern	states	0.0085
lincoln	states	0.008
north	southern	0.008
north	united	0.008
england	north	0.008
north	northern	0.008
lincoln	north	0.0075
southern	united	0.007
england	southern	0.007
northern	southern	0.007
lincoln	southern	0.006500000000000001
england	united	0.007
northern	united	0.007
lincoln	united	0.006500000000000001
england	northern	0.007
england	lincoln	0.006500000000000001
lincoln	northern	0.006500000000000001
butler	captain	0.028999999999999998
butler	navy	0.027
butler	capt	0.026500000000000003
boat	butler	0.025500000000000002
butler	clock	0.0245
butler	vessel	0.0245
board	butler	0.024
butler	witnesses	0.023
butler	shot	0.022
captain	navy	0.024
capt	captain	0.0235
boat	captain	0.0225
captain	clock	0.0215
captain	vessel	0.0215
board	captain	0.020999999999999998
captain	witnesses	0.02
captain	shot	0.019
capt	navy	0.0215
boat	navy	0.020499999999999997
clock	navy	0.0195
navy	vessel	0.0195
board	navy	0.019
navy	witnesses	0.018
navy	shot	0.017
boat	capt	0.02
capt	clock	0.019000000000000003
capt	vessel	0.019000000000000003
board	capt	0.018500000000000003
capt	witnesses	0.0175
capt	shot	0.0165
boat	clock	0.018000000000000002
boat	vessel	0.018000000000000002
board	boat	0.0175
boat	witnesses	0.0165
boat	shot	0.0155
clock	vessel	0.017
board	clock	0.0165
clock	witnesses	0.0155
clock	shot	0.0145
board	vessel	0.0165
vessel	witnesses	0.0155
shot	vessel	0.0145
board	witnesses	0.015
board	shot	0.014
shot	witnesses	0.013000000000000001
assessed	tobacco	0.0485
school	tobacco	0.047
encumbrance	tobacco	0.045
liquor	tobacco	0.043500000000000004
manufacture	tobacco	0.042
etc	tobacco	0.0415
commission	tobacco	0.041
smoking	tobacco	0.041
selling	tobacco	0.041
assessed	school	0.0295
assessed	encumbrance	0.0275
assessed	liquor	0.026000000000000002
assessed	manufacture	0.0245
assessed	etc	0.024
assessed	commission	0.0235
assessed	smoking	0.0235
assessed	selling	0.0235
encumbrance	school	0.026000000000000002
liquor	school	0.0245
manufacture	school	0.023
etc	school	0.0225
commission	school	0.022
school	smoking	0.022
school	selling	0.022
encumbrance	liquor	0.0225
encumbrance	manufacture	0.020999999999999998
encumbrance	etc	0.0205
commission	encumbrance	0.02
encumbrance	smoking	0.02
encumbrance	selling	0.02
liquor	manufacture	0.0195
etc	liquor	0.019000000000000003
commission	liquor	0.018500000000000003
liquor	smoking	0.018500000000000003
liquor	selling	0.018500000000000003
etc	manufacture	0.0175
commission	manufacture	0.017
manufacture	smoking	0.017
manufacture	selling	0.017
commission	etc	0.0165
etc	smoking	0.0165
etc	selling	0.0165
commission	smoking	0.016
commission	selling	0.016
selling	smoking	0.016
mr	states	0.0185
confederate	mr	0.0165
mr	state	0.015
government	mr	0.014499999999999999
bill	mr	0.013999999999999999
mr	president	0.0135
congress	mr	0.0135
committee	mr	0.0135
house	mr	0.0135
confederate	states	0.016
state	states	0.014499999999999999
government	states	0.013999999999999999
bill	states	0.013499999999999998
president	states	0.013
congress	states	0.013
committee	states	0.013
house	states	0.013
confederate	state	0.0125
confederate	government	0.012
bill	confederate	0.0115
confederate	president	0.011
confederate	congress	0.011
committee	confederate	0.011
confederate	house	0.011
government	state	0.010499999999999999
bill	state	0.009999999999999998
president	state	0.0095
congress	state	0.0095
committee	state	0.0095
house	state	0.0095
bill	government	0.0095
government	president	0.009000000000000001
congress	government	0.009000000000000001
committee	government	0.009000000000000001
government	house	0.009000000000000001
bill	president	0.0085
bill	congress	0.0085
bill	committee	0.0085
bill	house	0.0085
congress	president	0.008
committee	president	0.008
house	president	0.008
committee	congress	0.008
congress	house	0.008
committee	house	0.008
army	enemy	0.023
enemy	general	0.021
enemy	wounded	0.0195
cavalry	enemy	0.0195
enemy	force	0.019
enemy	troops	0.019
battle	enemy	0.018500000000000003
enemy	yankees	0.018000000000000002
enemy	gen	0.018000000000000002
army	general	0.015
army	wounded	0.013500000000000002
army	cavalry	0.013500000000000002
army	force	0.013000000000000001
army	troops	0.013000000000000001
army	battle	0.0125
army	yankees	0.012
army	gen	0.012
general	wounded	0.0115
cavalry	general	0.0115
force	general	0.011
general	troops	0.011
battle	general	0.010499999999999999
general	yankees	0.01
gen	general	0.01
cavalry	wounded	0.01
force	wounded	0.0095
troops	wounded	0.0095
battle	wounded	0.009000000000000001
wounded	yankees	0.0085
gen	wounded	0.0085
cavalry	force	0.0095
cavalry	troops	0.0095
battle	cavalry	0.009000000000000001
cavalry	yankees	0.0085
cavalry	gen	0.0085
force	troops	0.009
battle	force	0.0085
force	yankees	0.008
force	gen	0.008
battle	troops	0.0085
troops	yankees	0.008
gen	troops	0.008
battle	yankees	0.0075
battle	gen	0.0075
gen	yankees	0.007
court	yesterday	0.024
charged	court	0.022
court	mayor	0.020999999999999998
case	court	0.020499999999999997
arrested	court	0.019
charge	court	0.019
court	slave	0.0185
court	negro	0.018
court	house	0.018
charged	yesterday	0.019999999999999997
mayor	yesterday	0.019
case	yesterday	0.0185
arrested	yesterday	0.017
charge	yesterday	0.017
slave	yesterday	0.0165
negro	yesterday	0.016
house	yesterday	0.016
charged	mayor	0.017
case	charged	0.0165
arrested	charged	0.015
charge	charged	0.015
charged	slave	0.014499999999999999
charged	negro	0.013999999999999999
charged	house	0.013999999999999999
case	mayor	0.0155
arrested	mayor	0.014
charge	mayor	0.014
mayor	slave	0.0135
mayor	negro	0.013000000000000001
house	mayor	0.013000000000000001
arrested	case	0.0135
case	charge	0.0135
case	slave	0.013
case	negro	0.0125
case	house	0.0125
arrested	charge	0.012
arrested	slave	0.0115
arrested	negro	0.011
arrested	house	0.011
charge	slave	0.0115
charge	negro	0.011
charge	house	0.011
negro	slave	0.010499999999999999
house	slave	0.010499999999999999
house	negro	0.01
gen	river	0.029
gen	yankee	0.026000000000000002
city	gen	0.025
captured	gen	0.025
gen	york	0.0245
gen	prisoners	0.024
gen	miles	0.0225
gen	washington	0.022
gen	morning	0.022
river	yankee	0.022
city	river	0.021
captured	river	0.021
river	york	0.0205
prisoners	river	0.02
miles	river	0.018500000000000003
river	washington	0.018000000000000002
morning	river	0.018000000000000002
city	yankee	0.018000000000000002
captured	yankee	0.018000000000000002
yankee	york	0.0175
prisoners	yankee	0.017
miles	yankee	0.0155
washington	yankee	0.015
morning	yankee	0.015
captured	city	0.017
city	york	0.0165
city	prisoners	0.016
city	miles	0.0145
city	washington	0.014
city	morning	0.014
captured	york	0.0165
captured	prisoners	0.016
captured	miles	0.0145
captured	washington	0.014
captured	morning	0.014
prisoners	york	0.0155
miles	york	0.014
washington	york	0.0135
morning	york	0.0135
miles	prisoners	0.0135
prisoners	washington	0.013
morning	prisoners	0.013
miles	washington	0.0115
miles	morning	0.0115
morning	washington	0.011
district	governor	0.046
district	mh	0.042499999999999996
commonwealth	district	0.0385
district	election	0.035
district	virginia	0.0335
district	norfolk	0.0315
city	district	0.0315
district	petersburg	0.031
counties	district	0.03
governor	mh	0.041499999999999995
commonwealth	governor	0.0375
election	governor	0.034
governor	virginia	0.0325
governor	norfolk	0.0305
city	governor	0.0305
governor	petersburg	0.03
counties	governor	0.028999999999999998
commonwealth	mh	0.034
election	mh	0.0305
mh	virginia	0.028999999999999998
mh	norfolk	0.027
city	mh	0.027
mh	petersburg	0.0265
counties	mh	0.0255
commonwealth	election	0.0265
commonwealth	virginia	0.025
commonwealth	norfolk	0.023
city	commonwealth	0.023
commonwealth	petersburg	0.0225
commonwealth	counties	0.0215
election	virginia	0.0215
election	norfolk	0.0195
city	election	0.0195
election	petersburg	0.019
counties	election	0.018
norfolk	virginia	0.018000000000000002
city	virginia	0.018000000000000002
petersburg	virginia	0.0175
counties	virginia	0.0165
city	norfolk	0.016
norfolk	petersburg	0.0155
counties	norfolk	0.014499999999999999
city	petersburg	0.0155
city	counties	0.014499999999999999
counties	petersburg	0.013999999999999999
house	street	0.056
street	streets	0.052000000000000005
corner	street	0.051000000000000004
broad	street	0.044000000000000004
